Name,Price,Availability,Brand,Description,Category,Rating,Review,Star,Date,Labels
"BIC Wite-Out Brand EZ Correct Correction Tape, 39.3 Feet, 2-Count Pack of white Correction Tape, Fast, Clean and Easy to Use Tear-Resistant Tape Office or School Supplies",17,Out of Stock,Visit the BIC Store,"Make fast, easy and precise corrections on even the toughest errors with BIC Wite-Out Brand EZ Correct Correction Tape. This tear-resistant, film-based BIC Wite-Out Brand Correction Tape comes in a tape dispenser that offers maximum comfort and control, so you can easily and accurately correct mistakes. The tear resistance offers tidy, inconspicuous corrections that last. The Wite-Out Brand tape requires no dry time and won’t bleed or drip, so you can instantly write or type your corrections over it. A translucent body lets you see exactly how much BIC correction tape remains and a self-winding wheel lets you easily rewind the correction tape should it become loose. One pack contains 2 tape dispensers, each containing 39.3 feet of white correction tape. If you’re looking for reliable office or school supplies for lefties and righties, look no further than this Wite-Out Brand correction tape. From America’s No. 1 correction brand*, choose BIC Wite-Out Brand EZ Correct Correction Tape for a high-quality, safe and affordable product you can trust. *Source: The NPD Group/Retail Tracking Service and Commercial Tracking Service, U.S., based on actual unit sales; 12ME June 2022 combined.",Office Products,4.4,Good value. Easy to use and smooth application.,5.0 out of 5 stars,"Reviewed in Canada on March 23, 2024",positive
"BIC Wite-Out Brand EZ Correct Correction Tape, 39.3 Feet, 2-Count Pack of white Correction Tape, Fast, Clean and Easy to Use Tear-Resistant Tape Office or School Supplies",17,Out of Stock,Visit the BIC Store,"Make fast, easy and precise corrections on even the toughest errors with BIC Wite-Out Brand EZ Correct Correction Tape. This tear-resistant, film-based BIC Wite-Out Brand Correction Tape comes in a tape dispenser that offers maximum comfort and control, so you can easily and accurately correct mistakes. The tear resistance offers tidy, inconspicuous corrections that last. The Wite-Out Brand tape requires no dry time and won’t bleed or drip, so you can instantly write or type your corrections over it. A translucent body lets you see exactly how much BIC correction tape remains and a self-winding wheel lets you easily rewind the correction tape should it become loose. One pack contains 2 tape dispensers, each containing 39.3 feet of white correction tape. If you’re looking for reliable office or school supplies for lefties and righties, look no further than this Wite-Out Brand correction tape. From America’s No. 1 correction brand*, choose BIC Wite-Out Brand EZ Correct Correction Tape for a high-quality, safe and affordable product you can trust. *Source: The NPD Group/Retail Tracking Service and Commercial Tracking Service, U.S., based on actual unit sales; 12ME June 2022 combined.",Office Products,4.4,It is an o.k. product. There isn't much you can say about it.,4.0 out of 5 stars,"Reviewed in Canada on April 2, 2024",neutral
"BIC Wite-Out Brand EZ Correct Correction Tape, 39.3 Feet, 2-Count Pack of white Correction Tape, Fast, Clean and Easy to Use Tear-Resistant Tape Office or School Supplies",17,Out of Stock,Visit the BIC Store,"Make fast, easy and precise corrections on even the toughest errors with BIC Wite-Out Brand EZ Correct Correction Tape. This tear-resistant, film-based BIC Wite-Out Brand Correction Tape comes in a tape dispenser that offers maximum comfort and control, so you can easily and accurately correct mistakes. The tear resistance offers tidy, inconspicuous corrections that last. The Wite-Out Brand tape requires no dry time and won’t bleed or drip, so you can instantly write or type your corrections over it. A translucent body lets you see exactly how much BIC correction tape remains and a self-winding wheel lets you easily rewind the correction tape should it become loose. One pack contains 2 tape dispensers, each containing 39.3 feet of white correction tape. If you’re looking for reliable office or school supplies for lefties and righties, look no further than this Wite-Out Brand correction tape. From America’s No. 1 correction brand*, choose BIC Wite-Out Brand EZ Correct Correction Tape for a high-quality, safe and affordable product you can trust. *Source: The NPD Group/Retail Tracking Service and Commercial Tracking Service, U.S., based on actual unit sales; 12ME June 2022 combined.",Office Products,4.4,Franchement les meilleurs,5.0 out of 5 stars,"Reviewed in Canada on March 23, 2024",neutral
"BIC Wite-Out Brand EZ Correct Correction Tape, 39.3 Feet, 2-Count Pack of white Correction Tape, Fast, Clean and Easy to Use Tear-Resistant Tape Office or School Supplies",17,Out of Stock,Visit the BIC Store,"Make fast, easy and precise corrections on even the toughest errors with BIC Wite-Out Brand EZ Correct Correction Tape. This tear-resistant, film-based BIC Wite-Out Brand Correction Tape comes in a tape dispenser that offers maximum comfort and control, so you can easily and accurately correct mistakes. The tear resistance offers tidy, inconspicuous corrections that last. The Wite-Out Brand tape requires no dry time and won’t bleed or drip, so you can instantly write or type your corrections over it. A translucent body lets you see exactly how much BIC correction tape remains and a self-winding wheel lets you easily rewind the correction tape should it become loose. One pack contains 2 tape dispensers, each containing 39.3 feet of white correction tape. If you’re looking for reliable office or school supplies for lefties and righties, look no further than this Wite-Out Brand correction tape. From America’s No. 1 correction brand*, choose BIC Wite-Out Brand EZ Correct Correction Tape for a high-quality, safe and affordable product you can trust. *Source: The NPD Group/Retail Tracking Service and Commercial Tracking Service, U.S., based on actual unit sales; 12ME June 2022 combined.",Office Products,4.4,,,,neutral
Dove Nourishing Secrets Hydrating Shampoo Coconut and Hydration 6 Count for Daily Use Dry Hair Shampoo With Refreshing Lime Scent 12 oz,30,In Stock,Visit the Dove Store,"Looking for our best shampoo for dry hair to leave hair looking, feeling and smelling beautiful? Infused with coconut water and sweet lime, Dove Nourishing Secrets Coconut & Hydration Hair Shampoo is one of our best hair care products for dry hair, nourishing hair and helping to lock in essential moisture as it cleanses. From our Dove Nourishing Secrets range and formulated with our Nutritive Serum, this hydrating shampoo locks in essential moisture for beautifully healthy and hydrated hair that’s nourished from root to tip. The lightweight formula won’t weigh hair down and because it’s progressively nourishing, your hair gets better and better, wash after wash. As well as caring for your hair, Dove Nourishing Secrets Coconut & Hydration Shampoo smells heavenly too. The scent of coconut water and sweet lime in this moisturizing shampoo lifts your mood as well as leaving hair refreshed with every wash. So if you're looking for beautifully scented and moisturized hair that’s deeply nourished and perfectly smooth, this is the perfect addition to your hair care routine. How to use: Add some daily hair care to your morning with this nourishing dry hair shampoo. Gently massage this Dove shampoo into your wet hair, enjoying the creamy lather and uplifting fragrance, and then rinse. For best results, use daily and follow up with Dove Nourishing Secrets Coconut & Hydration Conditioner.",Beauty & Personal Care,4.6,"This is my new favorite shampoo, smells amazing and leaves my hair soft and shiny. Love having it stocked in my linen closet and this is a great price!",5.0 out of 5 stars,"Reviewed in the United States on February 20, 2024",positive
Dove Nourishing Secrets Hydrating Shampoo Coconut and Hydration 6 Count for Daily Use Dry Hair Shampoo With Refreshing Lime Scent 12 oz,30,In Stock,Visit the Dove Store,"Looking for our best shampoo for dry hair to leave hair looking, feeling and smelling beautiful? Infused with coconut water and sweet lime, Dove Nourishing Secrets Coconut & Hydration Hair Shampoo is one of our best hair care products for dry hair, nourishing hair and helping to lock in essential moisture as it cleanses. From our Dove Nourishing Secrets range and formulated with our Nutritive Serum, this hydrating shampoo locks in essential moisture for beautifully healthy and hydrated hair that’s nourished from root to tip. The lightweight formula won’t weigh hair down and because it’s progressively nourishing, your hair gets better and better, wash after wash. As well as caring for your hair, Dove Nourishing Secrets Coconut & Hydration Shampoo smells heavenly too. The scent of coconut water and sweet lime in this moisturizing shampoo lifts your mood as well as leaving hair refreshed with every wash. So if you're looking for beautifully scented and moisturized hair that’s deeply nourished and perfectly smooth, this is the perfect addition to your hair care routine. How to use: Add some daily hair care to your morning with this nourishing dry hair shampoo. Gently massage this Dove shampoo into your wet hair, enjoying the creamy lather and uplifting fragrance, and then rinse. For best results, use daily and follow up with Dove Nourishing Secrets Coconut & Hydration Conditioner.",Beauty & Personal Care,4.6,Great price,5.0 out of 5 stars,"Reviewed in the United States on March 10, 2024",positive
Dove Nourishing Secrets Hydrating Shampoo Coconut and Hydration 6 Count for Daily Use Dry Hair Shampoo With Refreshing Lime Scent 12 oz,30,In Stock,Visit the Dove Store,"Looking for our best shampoo for dry hair to leave hair looking, feeling and smelling beautiful? Infused with coconut water and sweet lime, Dove Nourishing Secrets Coconut & Hydration Hair Shampoo is one of our best hair care products for dry hair, nourishing hair and helping to lock in essential moisture as it cleanses. From our Dove Nourishing Secrets range and formulated with our Nutritive Serum, this hydrating shampoo locks in essential moisture for beautifully healthy and hydrated hair that’s nourished from root to tip. The lightweight formula won’t weigh hair down and because it’s progressively nourishing, your hair gets better and better, wash after wash. As well as caring for your hair, Dove Nourishing Secrets Coconut & Hydration Shampoo smells heavenly too. The scent of coconut water and sweet lime in this moisturizing shampoo lifts your mood as well as leaving hair refreshed with every wash. So if you're looking for beautifully scented and moisturized hair that’s deeply nourished and perfectly smooth, this is the perfect addition to your hair care routine. How to use: Add some daily hair care to your morning with this nourishing dry hair shampoo. Gently massage this Dove shampoo into your wet hair, enjoying the creamy lather and uplifting fragrance, and then rinse. For best results, use daily and follow up with Dove Nourishing Secrets Coconut & Hydration Conditioner.",Beauty & Personal Care,4.6,Love this shampoo. Buy in bundle for best price,5.0 out of 5 stars,"Reviewed in the United States on January 1, 2024",positive
Dove Nourishing Secrets Hydrating Shampoo Coconut and Hydration 6 Count for Daily Use Dry Hair Shampoo With Refreshing Lime Scent 12 oz,30,In Stock,Visit the Dove Store,"Looking for our best shampoo for dry hair to leave hair looking, feeling and smelling beautiful? Infused with coconut water and sweet lime, Dove Nourishing Secrets Coconut & Hydration Hair Shampoo is one of our best hair care products for dry hair, nourishing hair and helping to lock in essential moisture as it cleanses. From our Dove Nourishing Secrets range and formulated with our Nutritive Serum, this hydrating shampoo locks in essential moisture for beautifully healthy and hydrated hair that’s nourished from root to tip. The lightweight formula won’t weigh hair down and because it’s progressively nourishing, your hair gets better and better, wash after wash. As well as caring for your hair, Dove Nourishing Secrets Coconut & Hydration Shampoo smells heavenly too. The scent of coconut water and sweet lime in this moisturizing shampoo lifts your mood as well as leaving hair refreshed with every wash. So if you're looking for beautifully scented and moisturized hair that’s deeply nourished and perfectly smooth, this is the perfect addition to your hair care routine. How to use: Add some daily hair care to your morning with this nourishing dry hair shampoo. Gently massage this Dove shampoo into your wet hair, enjoying the creamy lather and uplifting fragrance, and then rinse. For best results, use daily and follow up with Dove Nourishing Secrets Coconut & Hydration Conditioner.",Beauty & Personal Care,4.6,"I bought these when they went on sale as our family goes through a lot of shampoo/conditioner. It reminds me of White Rain but it doesn’t have a strong smell. I can’t smell the coconuts. It does strip all the oil from your hair so be sure to use conditioner. My daughter has very oily hair and this helps but if you want to brush your hair, conditioner is a must.",4.0 out of 5 stars,"Reviewed in the United States on April 7, 2023",neutral
Dove Nourishing Secrets Hydrating Shampoo Coconut and Hydration 6 Count for Daily Use Dry Hair Shampoo With Refreshing Lime Scent 12 oz,30,In Stock,Visit the Dove Store,"Looking for our best shampoo for dry hair to leave hair looking, feeling and smelling beautiful? Infused with coconut water and sweet lime, Dove Nourishing Secrets Coconut & Hydration Hair Shampoo is one of our best hair care products for dry hair, nourishing hair and helping to lock in essential moisture as it cleanses. From our Dove Nourishing Secrets range and formulated with our Nutritive Serum, this hydrating shampoo locks in essential moisture for beautifully healthy and hydrated hair that’s nourished from root to tip. The lightweight formula won’t weigh hair down and because it’s progressively nourishing, your hair gets better and better, wash after wash. As well as caring for your hair, Dove Nourishing Secrets Coconut & Hydration Shampoo smells heavenly too. The scent of coconut water and sweet lime in this moisturizing shampoo lifts your mood as well as leaving hair refreshed with every wash. So if you're looking for beautifully scented and moisturized hair that’s deeply nourished and perfectly smooth, this is the perfect addition to your hair care routine. How to use: Add some daily hair care to your morning with this nourishing dry hair shampoo. Gently massage this Dove shampoo into your wet hair, enjoying the creamy lather and uplifting fragrance, and then rinse. For best results, use daily and follow up with Dove Nourishing Secrets Coconut & Hydration Conditioner.",Beauty & Personal Care,4.6,Great shampoo,5.0 out of 5 stars,"Reviewed in the United States on August 10, 2023",positive
Dove Nourishing Secrets Hydrating Shampoo Coconut and Hydration 6 Count for Daily Use Dry Hair Shampoo With Refreshing Lime Scent 12 oz,30,In Stock,Visit the Dove Store,"Looking for our best shampoo for dry hair to leave hair looking, feeling and smelling beautiful? Infused with coconut water and sweet lime, Dove Nourishing Secrets Coconut & Hydration Hair Shampoo is one of our best hair care products for dry hair, nourishing hair and helping to lock in essential moisture as it cleanses. From our Dove Nourishing Secrets range and formulated with our Nutritive Serum, this hydrating shampoo locks in essential moisture for beautifully healthy and hydrated hair that’s nourished from root to tip. The lightweight formula won’t weigh hair down and because it’s progressively nourishing, your hair gets better and better, wash after wash. As well as caring for your hair, Dove Nourishing Secrets Coconut & Hydration Shampoo smells heavenly too. The scent of coconut water and sweet lime in this moisturizing shampoo lifts your mood as well as leaving hair refreshed with every wash. So if you're looking for beautifully scented and moisturized hair that’s deeply nourished and perfectly smooth, this is the perfect addition to your hair care routine. How to use: Add some daily hair care to your morning with this nourishing dry hair shampoo. Gently massage this Dove shampoo into your wet hair, enjoying the creamy lather and uplifting fragrance, and then rinse. For best results, use daily and follow up with Dove Nourishing Secrets Coconut & Hydration Conditioner.",Beauty & Personal Care,4.6,It's Dove what more can I say? Always good quality for a decent price,5.0 out of 5 stars,"Reviewed in the United States on December 23, 2022",positive
Dove Nourishing Secrets Hydrating Shampoo Coconut and Hydration 6 Count for Daily Use Dry Hair Shampoo With Refreshing Lime Scent 12 oz,30,In Stock,Visit the Dove Store,"Looking for our best shampoo for dry hair to leave hair looking, feeling and smelling beautiful? Infused with coconut water and sweet lime, Dove Nourishing Secrets Coconut & Hydration Hair Shampoo is one of our best hair care products for dry hair, nourishing hair and helping to lock in essential moisture as it cleanses. From our Dove Nourishing Secrets range and formulated with our Nutritive Serum, this hydrating shampoo locks in essential moisture for beautifully healthy and hydrated hair that’s nourished from root to tip. The lightweight formula won’t weigh hair down and because it’s progressively nourishing, your hair gets better and better, wash after wash. As well as caring for your hair, Dove Nourishing Secrets Coconut & Hydration Shampoo smells heavenly too. The scent of coconut water and sweet lime in this moisturizing shampoo lifts your mood as well as leaving hair refreshed with every wash. So if you're looking for beautifully scented and moisturized hair that’s deeply nourished and perfectly smooth, this is the perfect addition to your hair care routine. How to use: Add some daily hair care to your morning with this nourishing dry hair shampoo. Gently massage this Dove shampoo into your wet hair, enjoying the creamy lather and uplifting fragrance, and then rinse. For best results, use daily and follow up with Dove Nourishing Secrets Coconut & Hydration Conditioner.",Beauty & Personal Care,4.6,Love it very much thanks,5.0 out of 5 stars,"Reviewed in the United States on March 13, 2023",positive
